name,description,release_date,platforms
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Super Mario All-Stars & Super Mario World,"An updated version of Super Mario All-Stars bundled for a short period of time with the Super Nintendo Entertainment System from December 1994, featuring the inclusion of Super Mario World.",,Super Nintendo Entertainment System
Wild West C.O.W.-Boys of Moo Mesa,"Wild West C.O.W.-Boys of Moo Mesa is a side-scrolling, action game.  The four COW-boys draw their pistols ""Sunset Riders"" style to get those dastardly varmints out of their town!",,Arcade
Super Mario All-Stars & Super Mario World,"An updated version of Super Mario All-Stars bundled for a short period of time with the Super Nintendo Entertainment System from December 1994, featuring the inclusion of Super Mario World.",,Super Nintendo Entertainment System
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Super Buster Bros.,Super Buster Bros. is a shooter for SNES.  The player shoots upwards to pop bubbles that bounce around the screen.,,"Super Nintendo Entertainment System, Nintendo Entertainment System, Arcade, Watara Supervision"
Super Buster Bros.,Super Buster Bros. is a shooter for SNES.  The player shoots upwards to pop bubbles that bounce around the screen.,,"Super Nintendo Entertainment System, Nintendo Entertainment System, Arcade, Watara Supervision"
Magia Para Todos,,,
Super Spy Hunter,"A vehicular combat game for the NES. It was originally called Battle Formula in Japan, but Sunsoft purchased the license to Spy Hunter and was able to market the game as a sequel to the Spy Hunter game.",1991-09-27,Nintendo Entertainment System
Super Mario All-Stars & Super Mario World,"An updated version of Super Mario All-Stars bundled for a short period of time with the Super Nintendo Entertainment System from December 1994, featuring the inclusion of Super Mario World.",,Super Nintendo Entertainment System
Nebulous,"Nebulous is much like the new hit game, ""Agar.io"", except this game is on android and is designed slightly different.",2016-08-30,"Android, PlayStation 4"
Nebulous,"Nebulous is much like the new hit game, ""Agar.io"", except this game is on android and is designed slightly different.",2016-08-30,"Android, PlayStation 4"
Super Mario All-Stars & Super Mario World,"An updated version of Super Mario All-Stars bundled for a short period of time with the Super Nintendo Entertainment System from December 1994, featuring the inclusion of Super Mario World.",,Super Nintendo Entertainment System
Nebulous,"Nebulous is much like the new hit game, ""Agar.io"", except this game is on android and is designed slightly different.",2016-08-30,"Android, PlayStation 4"
Minecraft,"A 3D procedurally-generated game of world exploration, resource harvesting, and freeform construction, featuring a unique block-based art style and online multiplayer. It received numerous ports and updates for nearly a decade after its initial release.",2009-05-17,"Mac, Xbox 360, PlayStation 3, Xbox 360 Games Store, PlayStation Network (PS3), PC, iPhone, iPad, Android, Windows Phone, PlayStation Vita, Wii U, Browser, PlayStation Network (Vita), Xbox One, PlayStation 4, Linux, Amazon Fire TV, New Nintendo 3DS, Nintendo Switch, Xbox Series X|S"
Free SuDoKu,,2007-02-04,PC
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
slither.io,"As a snake, players must eat to grow larger while avoiding collisions with other players.",,"Arcade, iPhone, iPad, Android, Browser"
Naruto: Clash of Ninja 2,Second entry on the Clash of Ninja fighting game series.,2003-12-04,GameCube
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
slither.io,"As a snake, players must eat to grow larger while avoiding collisions with other players.",,"Arcade, iPhone, iPad, Android, Browser"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Halo: Combat Evolved,"One of the launch titles of the original Xbox, Halo: Combat Evolved is a sci-fi first-person shooter telling the tale of an advanced cybernetic super-soldier known as the ""Master Chief"".",2001-11-15,"Mac, Xbox 360, Xbox, Xbox 360 Games Store, PC"
Senet,,,
slither.io,"As a snake, players must eat to grow larger while avoiding collisions with other players.",,"Arcade, iPhone, iPad, Android, Browser"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
God of War II,"God of War II continues the story of Kratos as he wields his newly-bestowed god-like powers, much to the dismay and fear of the other gods.",2007-03-13,PlayStation 2
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"Mac, PC, iPhone, iPad, Android, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X|S, Amazon Luna"
Elden Ring,Elden Ring by FromSoftware is a collaboration between Hidetaka Miyazaki and George R.R. Martin.,2022-02-25,"PC, Xbox One, PlayStation 4, PlayStation 5, Xbox Series X|S"
Elden Ring,No hay descripción disponible.,2022-02-25,
Fortnite Battle Royale,No hay descripción disponible.,2017-09-26,
Fortnite Battle Royale,"<p>Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.<br />
This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.<br />
Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service &amp; playstationnetwork.com/privacy-policy).<br />
1 player<br />
Network Players 2-99<br />
10GB minimum save size<br />
DUALSHOCK®4<br />
Online Play (Required)<br />
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service &amp; playstationnetwork.com/privacy-policy).<br />
Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.</p>",2017-09-26,
Red Dead Redemption,"<p>Red Dead Redemption is a third-person open-world adventure game which implements the Wild West at its best: it is very much GTA-clone but in bizarre stylistics and the very beginning of the twentieth century. This is the second title of a franchise, being preceded by Red Dead Revolver and followed by Red Dead Redemption 2 coming out in late 2018. <br />
We play as John Marston who gradually takes down and take out criminals and those, who crosses his path. Among the combat mechanics, the most interesting one is &quot;Dead Eye&quot; — it allows one to point multiple targets out in slow motion and then shoot them simultaneously. <br />
The game features 16-players multiplayer and cooperative and also has zombie DLC — Undead Nightmare. Additional content adds two modes to the original game: undead overrun in which you have to survive an infinite amount of zombie waves, and Land Grab in which player has to defend the particular piece of land to gain control of it.</p>",2010-05-18,
Red Dead Redemption 2,"<p>America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed. </p>
<p>After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.</p>
<p>From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age.</p>",2018-10-26,
Fortnite Battle Royale,"Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.

This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.

Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

1 player

Network Players 2-99

10GB minimum save size

DUALSHOCK®4

Online Play (Required)

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.",2017-09-26,
Elden Ring,"The Golden Order has been broken.

Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.

In the Lands Between ruled by Queen Marika the Eternal, the Elden Ring, the source of the Erdtree, has been shattered.

Marika's offspring, demigods all, claimed the shards of the Elden Ring known as the Great Runes, and the mad taint of their newfound strength triggered a war: The Shattering. A war that meant abandonment by the Greater Will.

And now the guidance of grace will be brought to the Tarnished who were spurned by the grace of gold and exiled from the Lands Between. Ye dead who yet live, your grace long lost, follow the path to the Lands Between beyond the foggy sea to stand before the Elden Ring.",2022-02-25,
Fortnite Battle Royale,"Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.

This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.

Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

1 player

Network Players 2-99

10GB minimum save size

DUALSHOCK®4

Online Play (Required)

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.",2017-09-26,
Red Dead Redemption,"Red Dead Redemption is a third-person open-world adventure game which implements the Wild West at its best: it is very much GTA-clone but in bizarre stylistics and the very beginning of the twentieth century. This is the second title of a franchise, being preceded by Red Dead Revolver and followed by Red Dead Redemption 2 coming out in late 2018. 

We play as John Marston who gradually takes down and take out criminals and those, who crosses his path. Among the combat mechanics, the most interesting one is ""Dead Eye"" — it allows one to point multiple targets out in slow motion and then shoot them simultaneously. 

The game features 16-players multiplayer and cooperative and also has zombie DLC — Undead Nightmare. Additional content adds two modes to the original game: undead overrun in which you have to survive an infinite amount of zombie waves, and Land Grab in which player has to defend the particular piece of land to gain control of it.",2010-05-18,
Red Dead Redemption 2,"America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed. 

After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.

From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age.",2018-10-26,
Dark Souls,"Bone-rattling because of its complexity adventure in the Lordran, land of the ancient lords and endless mysteries. We are playing for a tacit prisoner, whose goal is to become human again. This is the first game in the series.

The main game mechanics is exploration. Dark Souls is a third-person action RPG, a part of the Souls series. The player slowly advances from one point of contact to another, defeating more and more powerful enemies. Completing the game is a truly hard task with the first, one of the main features of the series - a constant repetition and search for better tactics to overcome a certain enemy. After each savepoint respawns defeated enemies, after each death the player loses all the accumulated in-game currency.

In the game there is an unconventional multiplayer system: players can invite other people to join their game sessions for a duel or to help each other with difficult bosses.",2011-09-22,
Dark Souls II,"Dark Souls II is the third installment in the well-known Souls series. It’s a different game from all the others because of its directors. With Dark Souls II the main director and founder of Souls-like genre Hidetaka Miyazaki took place only as a supervisor of the project, leaving a place of the director of the game for two young video game designers Tomohiro Shibuya and Yui Tanimura. One could ask if the game is as good and beautiful as other past games in the Series and the answer would be that Dark Souls II is different yet deep and unforgiving as all the other titles in the series. The famous difficulty of previous games is still there but the world is much simpler yet connected and dangerous. Enemies still respond after death of a player but only about 15 times. After that they disappear forever. Boss battles are much simpler, this time focuses on many simpler bosses at a time instead of one powerful boss. 

Dark Souls II is one of those games which were painfully downgraded in a favor of hardware of consoles, that means that players got less graphically advanced version than promised. Yet the game is interesting and deep and it’s definitely a must play for every Souls fan.",2014-03-11,
Fortnite Battle Royale,"Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.

This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.

Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

1 player

Network Players 2-99

10GB minimum save size

DUALSHOCK®4

Online Play (Required)

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.",2017-09-26,
Apex Legends,"Conquer with character in Apex Legends, a free-to-play* Battle Royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the Frontier. Master an ever-growing roster of diverse legends, deep tactical squad play, and bold new innovations that level-up the Battle Royale experience—all within a rugged world where anything goes. Welcome to the next evolution of Battle Royale.

Characters you can play as: Caustic, Bangalore, Bloodhound, Crypto, Gibraltar, Lifeline, Loba, Mirage, Octane, Pathfinder, Rampart, Revenant.",2019-02-04,
Call of Duty 4: Modern Warfare,"The fourth installment of a popular series, Call of Duty 4: Modern Warfare is split into two different, gameplay-wise, parts. The single-player campaign invites players to go through the episodic story, where players control six different characters. And even though the stories are taking place in different locations, the events of the campaign are happening simultaneously, creating the sense of urgency and painting a large-scale picture of the events.

Multiplayer side of things in the Call of Duty series has been more popular among the players. A lot of features, not present in the single-player campaign, will be available to the player, such as a killstreak mechanic, that rewards players for killing multiple enemies without dying. Multiplayer maps consist of team-based and deathmatch based game modes, where players take on the objectives in order to complete the map mission or to obtain the largest amount of kills. Depending on how well the player does, they will be rewarded with experience points, which will allow them to level up and unlock new weapons, abilities, and perks for the playable classes.",2007-11-05,
Fortnite Battle Royale,"Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.

This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.

Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

1 player

Network Players 2-99

10GB minimum save size

DUALSHOCK®4

Online Play (Required)

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.",2017-09-26,
Apex Legends,"Conquer with character in Apex Legends, a free-to-play* Battle Royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the Frontier. Master an ever-growing roster of diverse legends, deep tactical squad play, and bold new innovations that level-up the Battle Royale experience—all within a rugged world where anything goes. Welcome to the next evolution of Battle Royale.

Characters you can play as: Caustic, Bangalore, Bloodhound, Crypto, Gibraltar, Lifeline, Loba, Mirage, Octane, Pathfinder, Rampart, Revenant.",2019-02-04,
Elden Ring,"The Golden Order has been broken.

Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.

In the Lands Between ruled by Queen Marika the Eternal, the Elden Ring, the source of the Erdtree, has been shattered.

Marika's offspring, demigods all, claimed the shards of the Elden Ring known as the Great Runes, and the mad taint of their newfound strength triggered a war: The Shattering. A war that meant abandonment by the Greater Will.

And now the guidance of grace will be brought to the Tarnished who were spurned by the grace of gold and exiled from the Lands Between. Ye dead who yet live, your grace long lost, follow the path to the Lands Between beyond the foggy sea to stand before the Elden Ring.",2022-02-25,
Fortnite Battle Royale,"Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.

This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.

Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

1 player

Network Players 2-99

10GB minimum save size

DUALSHOCK®4

Online Play (Required)

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.",2017-09-26,
Dark Souls,"Bone-rattling because of its complexity adventure in the Lordran, land of the ancient lords and endless mysteries. We are playing for a tacit prisoner, whose goal is to become human again. This is the first game in the series.

The main game mechanics is exploration. Dark Souls is a third-person action RPG, a part of the Souls series. The player slowly advances from one point of contact to another, defeating more and more powerful enemies. Completing the game is a truly hard task with the first, one of the main features of the series - a constant repetition and search for better tactics to overcome a certain enemy. After each savepoint respawns defeated enemies, after each death the player loses all the accumulated in-game currency.

In the game there is an unconventional multiplayer system: players can invite other people to join their game sessions for a duel or to help each other with difficult bosses.",2011-09-22,
The Witcher,"The Witcher is the very first instalment of the series that follows the story of Geralt from Rivia. Being found unconscious on the battlefield he must retrieve his memory and help the emperor's daughter, Adda to stop her from turning in to a feral monster. Facing the biggest enemy, Salamander, Geralt must also help all the fractions around the world to find peace between each other.

The fighting system is very flexible. Choosing from three different styles, you can adapt Geralt for any kind of a combat situation. Fast style of fighting gives you an opportunity to strike your opponents with your speed. The strong style focuses itself on destroying your enemies with powerful attacks, while sweeping style is very good when facing a number of foes. You can also craft some potions to gain important benefits such as seeing in the dark or having a larger amount HP. Plot style is unique as well. The game never gives a precise definition of evil, which leads the player to convenient situations where the choice is quite bad anyway.",2007-10-24,
Cyberpunk 2077,"Cyberpunk 2077 is a science fiction game loosely based on the role-playing game Cyberpunk 2020.

Setting

The game is set in the year 2077 in a fictional futuristic metropolis Night City in California. In the world of the game, there are developed cybernetic augmentations that enhance people's strength, agility, and memory. The city is governed by corporations. Many jobs are taken over by the robots, leaving a lot of people poor and homeless. Night City has a roaring underworld, with black markets, underground surgeons, drug dealers, and street gangs abound.

Characters

The main protagonist is fully customizable, including his or her sex and appearance, and goes by the nickname V. He or she is an underground mercenary who does “dirty business” for the various contractors. An NPC companion named Jackie joins the protagonist early at the game, and various other companions may join the player on certain missions as the plot demands. However, the game has no parties and no companion system.

Gameplay

The player controls V from the first person view, with the third-person view used for cutscenes only. The protagonist can travel across the city on feet or using various vehicles, in a manner some observers compared to GTA series. There are many options for the character customization, including three character classes, and a variety of augmentations V can install to enhance his or her abilities.",2020-12-10,
Elden Ring,"The Golden Order has been broken.

Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.

In the Lands Between ruled by Queen Marika the Eternal, the Elden Ring, the source of the Erdtree, has been shattered.

Marika's offspring, demigods all, claimed the shards of the Elden Ring known as the Great Runes, and the mad taint of their newfound strength triggered a war: The Shattering. A war that meant abandonment by the Greater Will.

And now the guidance of grace will be brought to the Tarnished who were spurned by the grace of gold and exiled from the Lands Between. Ye dead who yet live, your grace long lost, follow the path to the Lands Between beyond the foggy sea to stand before the Elden Ring.",2022-02-25,
Fortnite Battle Royale,"Fortnite Battle Royale is the completely free 100-player PvP mode in Fortnite. One giant map. A battle bus. Fortnite building skills and destructible environments combined with intense PvP combat. The last one standing wins.  Download now for FREE and jump into the action.

This download also gives you a path to purchase the Save the World co-op PvE campaign during Fortnite’s Early Access season, or instant access if you received a Friend invite.

Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

1 player

Network Players 2-99

10GB minimum save size

DUALSHOCK®4

Online Play (Required)

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fortnite © 2017, Epic Games, Inc. Epic Games, Fortnite, Unreal, Unreal Engine 4, UE4, and their respective logos are trademarks or registered trademarks of Epic Games, Inc. in the United States of America and elsewhere. All rights reserved. The rating icon is a registered trademark of the Entertainment Software Association. All other trademarks and trade names are the properties of their respective owners.",2017-09-26,
Elden Ring,"The Golden Order has been broken.

Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.

In the Lands Between ruled by Queen Marika the Eternal, the Elden Ring, the source of the Erdtree, has been shattered.

Marika's offspring, demigods all, claimed the shards of the Elden Ring known as the Great Runes, and the mad taint of their newfound strength triggered a war: The Shattering. A war that meant abandonment by the Greater Will.

And now the guidance of grace will be brought to the Tarnished who were spurned by the grace of gold and exiled from the Lands Between. Ye dead who yet live, your grace long lost, follow the path to the Lands Between beyond the foggy sea to stand before the Elden Ring.",2022-02-25,
